epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1386.25,0.60272,0.36264,1.01831,0.86491,0.85366,0.8961,0.58918,1.35124,0.62637,1.79825,0.0009572,0.0009572,0.0009572
160,1395.03,0.59532,0.36057,1.00547,0.88597,0.84168,0.88592,0.59889,1.29657,0.6809,1.74459,0.0009506,0.0009506,0.0009506
161,1403.73,0.6051,0.37075,1.00824,0.93192,0.79853,0.88744,0.60272,1.3126,0.67414,1.77099,0.000944,0.000944,0.000944
162,1412.46,0.6105,0.37046,1.02746,0.8878,0.84167,0.88169,0.59261,1.35028,0.61609,1.76343,0.0009374,0.0009374,0.0009374
163,1421.17,0.58906,0.36836,1.0081,0.91347,0.78333,0.85828,0.58383,1.28551,0.65682,1.68816,0.0009308,0.0009308,0.0009308
164,1429.87,0.6,0.36218,1.01582,0.92441,0.81534,0.87864,0.60129,1.29252,0.64659,1.73628,0.0009242,0.0009242,0.0009242
165,1438.6,0.5931,0.35845,1.00194,0.91385,0.80833,0.86729,0.5986,1.27231,0.62587,1.7179,0.0009176,0.0009176,0.0009176
166,1447.34,0.60266,0.36015,1.01576,0.92318,0.81667,0.88282,0.60252,1.27798,0.6356,1.6908,0.000911,0.000911,0.000911
167,1456.04,0.59952,0.36006,1.00478,0.90983,0.84082,0.88361,0.58392,1.37715,0.66577,1.81634,0.0009044,0.0009044,0.0009044
168,1464.75,0.60327,0.36703,1.01766,0.89762,0.81667,0.88907,0.58306,1.38291,0.69154,1.84549,0.0008978,0.0008978,0.0008978
169,1473.59,0.60022,0.36284,1.01822,0.94549,0.79167,0.88378,0.60419,1.31515,0.65974,1.74899,0.0008912,0.0008912,0.0008912
170,1482.36,0.58539,0.36768,1.00574,0.88013,0.85659,0.88841,0.59832,1.32618,0.65636,1.75733,0.0008846,0.0008846,0.0008846
171,1491.08,0.57794,0.35075,1.01237,0.90078,0.8322,0.88807,0.59524,1.33825,0.6387,1.78329,0.000878,0.000878,0.000878
172,1499.84,0.58847,0.35502,1.01258,0.90526,0.79629,0.87468,0.59304,1.30344,0.72847,1.75641,0.0008714,0.0008714,0.0008714
173,1508.58,0.59743,0.37139,1.01659,0.907,0.81275,0.87278,0.58184,1.36981,0.67712,1.84183,0.0008648,0.0008648,0.0008648
174,1517.34,0.58842,0.36674,1.00877,0.86444,0.85025,0.89408,0.58541,1.33986,0.67137,1.76724,0.0008582,0.0008582,0.0008582
175,1526.04,0.56994,0.34127,0.99258,0.90082,0.83259,0.87893,0.58747,1.35044,0.68475,1.83111,0.0008516,0.0008516,0.0008516
176,1534.75,0.57726,0.35156,1.00213,0.92492,0.82132,0.87545,0.58691,1.3368,0.63064,1.79587,0.000845,0.000845,0.000845
177,1543.45,0.57384,0.36563,1.00708,0.87462,0.81389,0.88339,0.59342,1.34445,0.67297,1.81364,0.0008384,0.0008384,0.0008384
178,1552.16,0.5724,0.35466,0.99733,0.90855,0.80833,0.88841,0.60351,1.33933,0.61927,1.81438,0.0008318,0.0008318,0.0008318
179,1560.84,0.563,0.3559,1.00387,0.89848,0.825,0.87812,0.58584,1.30419,0.68131,1.75668,0.0008252,0.0008252,0.0008252
180,1569.57,0.57153,0.35269,0.99803,0.87093,0.86667,0.887,0.59635,1.3205,0.68791,1.77499,0.0008186,0.0008186,0.0008186
181,1578.45,0.57191,0.3445,0.98836,0.96034,0.80712,0.88578,0.60908,1.28331,0.66548,1.72662,0.000812,0.000812,0.000812
182,1587.33,0.56914,0.34763,0.99564,0.87539,0.83333,0.88755,0.61179,1.28569,0.65088,1.75387,0.0008054,0.0008054,0.0008054
183,1596.23,0.56251,0.33921,0.99986,0.90651,0.80807,0.86664,0.60074,1.31861,0.71644,1.80465,0.0007988,0.0007988,0.0007988
